stopword removal,Score,Sentiment
percaya nanganin menguwadai biyadab,1,Positif
kisah terulang papa saham kabur kasusnya hilang,-1,Negatif
sial mentri terbaik pecatin,0,Netral
jokowi ab ba,1,Positif
tangkap orang rizal chalid atm pemimpin parpol pejabat,-2,Negatif
puji tuhan simpati pakai prof mahfud md presiden gbu,3,Positif
jokowislalu ikutterbkait korupsj pertamina noel chalid tomlembong,0,Netral
resa khalid korupsinya kerugian negara disebabkan beliau t dengar ngrugiin negara lelah mencintai indonesia ketidak adilan didalamnya perbaikilah perih dengar sakit diresapi,0,Netral
sudirman said keren,0,Netral
berurusan duit n jabatankeimanan kacauapalgi lingkungan buruk trbawa burukatau trtindas kelak akherat rakyat indonesia membela pemimpin jujurn menuntut pmimpin dzolim,-1,Negatif
capeeeeeeeee kemarin luhut wawancara wawancara jahat indonesia,1,Positif
mahfud ulasan lo kadaluarsapenyesalan semu mengapai lo menkopolhukam,2,Positif
mahfud membiarkan olah mentrinya polhukam,-1,Negatif
tolong pakmasalah ikn diperiksa dana apbn terserap proyek,1,Positif
sdengan pengalama n said didu mereformasi tni pertamina diperbantukan mereformasi polri,0,Netral
apalah arti mas intan berlian duit segudang menyangga langit dunia kejahatan aman buru keliang lahat kenang kejahatan sumpah serapah orang looohhh,1,Positif
rakyat pro bapan pemeriksa keuangan prabowo mendukung beliau priode gibran no,0,Netral
jokowi hutang dana kampanyesama riza halid setiyanopanto,0,Netral
jos mahfud mdpak sudirman saiddan said didusaya senang orang,0,Netral
diambil kesimpulan joko petugas partai kerjanya bagus partai masuk angin,-1,Negatif
jokowi takut nasib keluarga jokowi orang liku liku kehidupan kota jakarta disamping jokowi dukungan kuat silsilah keluarga orang orang kuat presiden pengakuan beliau perhatian rakyat indonesia,2,Positif
rizal khalid ditetapkan tersangka rizal khalid indonesia,0,Netral
pinternya mul jerat mengikat shg timbal baliknya mul berbuat aparatpartai memprotessebab leher jerat abadi selam hidup rakyat membaca,1,Positif
mulyono lempar batu sembunyi tangan,1,Positif
presiden takut bawahannya bonekanya oligarki,1,Positif
nyak nyak nyak raja minyak nyak raja minyak,0,Netral
mahfud tolong gencarkan bahas hapus judol rakyat menengah kebawah sudut daerah mata memangang telinga mendengar main usaha ukm bangkrut pedagang bangkrut buruh aparat main judol perceraian meningkat daerah meningkat pemerintah pusat kucurin modal bank t modali ekonomi indonesia normal pemutaran uang menengah uang masuk bandar judol bekingnya tolong bahar judol pemerintah peka fokus berantas judol,-3,Negatif
mahmud said sehubungan sentilan bapan pemeriksa keuangan papa saham mohon bantuannya menyuarakan korban buruh freeport phk akibat tarik ulurnya renegosiasi saham presiden jokowi memanggil ptfreeport menyelesaikannya penyelesaiannya buruh korban phk freeport meninggal dunia bpjs kesehatannya blokir berobat,-3,Negatif
politik tingkat membingungkan nyerah deh,-1,Negatif
luhut makelar mafia,-2,Negatif
jokowi ketakutan mafia reza laknat cholid,-3,Negatif
semoga indonesia amin,0,Netral
pakai jwi terkna,0,Netral
harap indonesia maju bandit maling perampok duit negara dihukum mati pengkhianat bangsa,-1,Negatif
bagus md rakyat,0,Netral
bawa pulang riza khalid singapore anak bohongi,-1,Negatif
terlambat bapan pemeriksa keuangan bikin konten iniharusnya periode,0,Netral
mapia melepas,-1,Negatif
sikat koruptor terkecil besaryang lamanegara isi elit pilihanbukan plihara koruptor,0,Netral
jebud pemerintahan diembisuklo pemerintah nyocot semuangemeng sono kemarimodel orang jenis beginisy respect orang model beginimau prof kayak,0,Netral
terimakasih edukasi rakyat bangsa gar memberhalakan uang kekuasaan mabok duniawi semoga tuhan yme melindungi cinta indonesia raya amin,1,Positif
takut kekuatan senjata perang orang harta,0,Netral
jokowi takut dipenjara ribuan triliun ditangan,0,Netral
gus dur dewan perwakilan rakyat secepatnya bubarkan membebani bangsa negara,0,Netral
yaman,0,Netral
terimakasih pencerahannya prof membuka wawasan,1,Positif
podces pembicara jokowi,0,Netral
negara takut mafia memalukannegara tentara polisi habisi pelihara mafianya kue,0,Netral
solo wali kota jokowi menampak mencari citra orang suka blusukan menutupi hobinya berbohong terbukti pencalonan wali kota solo gubenur jakarta presiden periode memakai ijasah palsu anaknya didorong meneruskan dinasti kekuasaannya berijasah palsu pertanyaannya orang tertipu orang kebanyakan elit elit partai prof doktor ketua ketua partai dikerjain jokowi jokowi memenjarakan kelompok mempermasalahkan ijasah palsunya menutupi kebohongannya kebohongan jokowi merusak sendi sendi konstitusi bernegara berbangsa,-1,Negatif
assalsmu alsikum bismillahirrahmanirrahim urusannya mahpud urus an bisamencampu ri ususan mahpud psk mahpud tinggalkan dimasa pe merintahan presiden jok owido amin wassalam,0,Netral
pertamina pecah lembaganya pertamina dst,0,Netral
semoga indonesia bersih kejahaatan dipimpin pemerintah ng amin,0,Netral
era jokowi kpk direvisi kpk lemah uu no jokowi kehilangan akal bwliau bikin uu perampasan aset dianggap membangkang berhianat beliau dihujad dihinakan,-1,Negatif
mobil ecu eror sen kiri belok kanan manusia namanya munafik semoga tobat,0,Netral
orang narasumber sakit hati pilpress banteng group yaman anis imin,-2,Negatif
jokowi pintar bro melucuti mafia serentak jokowi kslau mafiado bersatu presiden turun sia brantar mafia jokowi sakti,-2,Negatif
allah tunjukkan kuasanya suharto sekelas raja orang merinding namanya hayatnya jadikan terdakwa jokowi suharto gagal penjarakan akibat kondisi kekuatan politiknya uang kembalikan negara triliun,0,Netral
mafia koruptor memperbesar perut coba koruptor dihukum mati habis koruptor rakyat miskin gara koruptor,-2,Negatif
terima kasih frop mahpudmas dirman membuka tabir sesungguhnya elit kotor semoga dilindungi allah subbhahu wa taala takut mati kebaikan kemaslahatan mati bunga harum bangsa inilebih tentara berjuang medan perang,4,Positif
gila negara penuh mafia berdasi,-1,Negatif
mbh derman tarik kabinet biyar cepat tuntas koroptor,1,Positif
indonesia butuh prof benerin negarapasti berescoba profyg panggil negarajangan takut profprofmahasiswa tauini,-2,Negatif
hadir mahfud,0,Netral
dirman dzolimi riza chalid mazuk menggantikan ai bahlil bangkai,-1,Negatif
orang kejahatan mafia negeri pertanyaanya menyelesaikanya mata rakyat biyasa percaya sungguh memalukan negeri,-1,Negatif
kerajaan penguasa pemberontak patuh persiden hukum,0,Netral
mahfud diam jabatan jokowi lapar kenyang duduk diam tidur,0,Netral
sudirman said dipecat jokowi kerja riza chalik korupsi pertamina,0,Netral
jokowi dibelakang mega korupsi,-1,Negatif
suara gaya bicaranya plek ketiplek mentri purbaya,0,Netral
pandangan mahfudz sudirman said keliru jokowi membangun negarasementara jokowi ketua partai mengimbangi kekuatan partai jokowi lengser pembangunan berantakan,0,Netral
terimakasih podcast terang narasumber terpercayasaya menduga masyarakat percaya presiden prabowo memahamimasyarakat menunggu action pemerintah menyelesaikansemoga kebenaran berpihak masyarakat berguna bangsa negara,3,Positif
pembubaran petral sudirman saidjokowi berang shg diberhentikannya sudirman menteri logika orang kecerdasan sajaini kejadian anehpaling penjelasan presiden berangmmg layak nama pemerintahan alibaba,1,Positif
pejuang kebaikan bangsa,1,Positif
sudirman said figur kagumi mohon dibantu bekerjasama ihn terimakasih,3,Positif
takut kang dedi kayak jokowi masyarakat netizen meng eluelukan lupa salah kritik puji puji bikin rusak mari berpikir kritis,-2,Negatif
mhn bapan pemeriksa keuangan presiden udimasukkan kabinet merah putih al bapan pemeriksa keuangan soedirman said bapan pemeriksa keuangan dahlan iskankerena orang beliau lnsyaallah amin,-1,Negatif
assalamualaikum maaf mahfud pakai langganan penikmat belajar conten mahfud biaya bertambah beli kuota bayar berlangganan maaf loh orang menengah menonton content mahfud terimakasih selesai,3,Positif
kuasa puncak negara presiden ketua partai faham fakta pemimpin partai beliau presiden gassss prabowo kordinasi penasehat indonesia bermartabatterima kasih mahfud orang,1,Positif
csr wow,0,Netral
komen masarakat berita kabar berita terkini negeri,-1,Negatif
badongna topali bittuang,0,Netral
terang kerangka mempertahankan bangsa indonesia kepentingan kelompok berbicara duduk menteri diam namanya omong kosong berpolitik negara,-3,Negatif
sory kerja,1,Positif
dimana,0,Netral
b indonesia masuk,-1,Negatif
mgerti bgimna dasyatnya brutalnya pemerintahan jokowi anehnya mndukung jokowi sedih lihatnya pakai mahfud dirman tolong bantu benahi negara keselamatan bangsa rakyat indonesia,-1,Negatif
tambang bauksit tambang pasir laut tambak bijih besi profinsi kepri hasil analisa bisnisna angkanya uang hasil penjualannya panjaaaang royalty pajaknya masuk pendapatan negara batubara minyak mas,0,Netral
raja geng solo kaitan geng raja minyak,1,Positif
mafia minyak level level oknum oknum aph cek wilayah kepulauan kuota drum minyak bersubsidi dijatahi bendera izin pangkalan pangkalannya aktifitas jual minyak,-3,Negatif
perbincangan berpikir orang sebutkan mul lbp rh snsaling kait mengait kepentingan,2,Positif
daging,0,Netral
mahfud betapa buruknya sistem pemerintahan mahfud presiden,1,Positif
semangat menjalankan keadilan hukum,0,Netral
hadeuuu,0,Netral
maju mahfud,0,Netral
diskusi menyimpulkan luhut mantan jenderal tni peran rusaknya sistem tata kelola negara,-2,Negatif
seponsor abrek,0,Netral
info mahal,0,Netral
saksi hoax pejabat integritas,-1,Negatif
olah p mahfud menutupi peran oligarchi kebijakan jokowi kebijakan psn woosh ikn,2,Positif
semoga nkri menemukan pemimpin paham negeri nkri bangkit berjaya negara adidaya makmur lohjinawi,3,Positif
mantan atasan prabowo kopasus dijaman presiden tampil jarang tampil semenjak pas presiden,3,Positif
ahok presiden berbeda ceritanya beliau jujur berintegritas takut menguasai indonesia,1,Positif
mahfud sudirman keren,0,Netral
pakai mahfud pintar mengomong cari aman kiri oke kanan oke,0,Netral
o,0,Netral
gerombolan sebelah,-2,Negatif
hormat sudirman said beliau santun menahan pergolakan pertempuran hati,-1,Negatif
mafud undang ahok,1,Positif
manusiamanusia,0,Netral
sepakat sudirman said negara butuh pendidikan butuh orang diatas berpendidikan,0,Netral
berdiskusi ruangan menyerang pribadi jokowi topik nyenggol nama jokowi makan,-1,Negatif
ngeri luhut,-1,Negatif
semoga anak muda penerus bangsa mendengarkan orang jujur tulus kebaikan rakyat indonesia,0,Netral
rc berdiri bintang bermain apapun mafia nyata penguasa berani mengambil tindakan,0,Netral
mikum mantap zosss pakmahput suguh cerdas zniyus jurdil cinta rakyat mantap,3,Positif
putus putus pakai kamibyg menyimak kesimpulannya,0,Netral
era mulyono berani bukaan korupsi,-1,Negatif
said didu sahabat sudirman said said didu benci jokowi said didu bertolak statement sudirman said,-1,Negatif
prof mahfud bikin podcast seru nih truskan bikin fulgar subscribe,0,Netral
kpk dikebiri jokowi terkait korupsi ektp setya novanto silakan rizal wawancarai khusus mantan ketua kpk agus rahardjobeliau menceritakan berani rizal wawancarai agus rahardjo,-1,Negatif
dosa jokowi nyata bansos uang tutup mulut rakyat,-3,Negatif
mantap,1,Positif
terima kasih sekian bangsa ilmunya podcast,1,Positif
indonesia terang terang mantap mahfud idola ku,0,Netral
pas menjabat diam diam dah diluar speak up,0,Netral
tretan,0,Netral
negeri salah urus intrik kepentingan mengkait,0,Netral
bbm harga mahal jual harga ribu liter pertamina untung,4,Positif
kayak negeri initapi koruptor banyakmengerikan,-1,Negatif
mental,0,Netral
dengar lihat diskusi chanel berasa kuliah pengetahuan cerdas,2,Positif
termul kumpul,0,Netral
damn pembicaraan mahal bocah mengerti prefrontal cortex berkembang ohhhhhhhh,1,Positif
temanan berkolaborasi mafia mahfud,-1,Negatif
salahnya memilih orang oon,-1,Negatif
mengikuti indonesia,1,Positif
mahfud cocok penerus presiden prabowo usia beliau menua,1,Positif
sehat mahmud mdaamiin,0,Netral
sehat prof,0,Netral
orang hebat tergantikan,0,Netral
durasi heu terima kasih orang hebat ojek online suka intelektual dewasaan berpolitik,2,Positif
berbulan riza chalid hilang,0,Netral
mahfud md berkelas tawaran menko polkam jenderal senior kabinet prabowo mahfud etika berhak dijabatan berkeringat menjadikan prabowo presiden iru berkelas jawanan,-1,Negatif
nice,1,Positif
mahputsamasudirmansaidsekarangcarisensasirakyatocehanmugakngaruhssmarakyat,0,Netral
silvester berani tangkap tangkap riza chalid ermmm,-2,Negatif
terang hasil hancur lebur hutang menggunung pajak meroket,-3,Negatif
joko ngomg a raja bohong permainan keruk duit bermain daaaan mungkiiiiin viliiing show good,1,Positif
mengerti kayaknya susahsemua pejabat negara terlibattermasuk orang prabowoparah,-2,Negatif
jokowi orang baiktapi tekanan politik parpolrusaksdh kebaca,-3,Negatif
diskusi mencerdaskansayang podcast anak milenial minatsayangsekali,-1,Negatif
indonesia seribu pejabat jujur menjalan tugas pemimpin melindungi mafia indikasi main uang,-3,Negatif
mantan anak buah membicarakan keburukan mantan atasannya,-4,Negatif
orang mengomong enak coba suruh kerja pengamat mengomong enak gampang coba pekerjaan yentu rakyat cerdas menilai,0,Netral
setuju pocesnya pakai mahpud md mengedukasi,0,Netral
lupa rizal chalid pebdukung prabowo host mencoba menggiring sudirman said mahpud md memojokan jokowi,0,Netral
bekingan kapa,0,Netral
semoga mahfud bergabung pemerintahan prabowo,-1,Negatif
jokowi presiden jokowi manut pimpinan partai pdip,1,Positif
dugaan mafia sokongan umenjatuhkan kitasemoga petunjuk pemimpin kitaoleh allah swt amin,0,Netral
oooohh tertipu,0,Netral
orang menjabat ajasetelah pecat ngeyel membuka aib pimpinanmanusia kaliankalau memalukan,-1,Negatif
berat sebelah jokowi diundang berani posisi jokowi dimana beliau presiden petugas partai atasannya,-1,Negatif
jokowi petugas partai bilang sudirman said,-1,Negatif
intelejen dicari melindungi,0,Netral
menikmati obrolan segerwaras damel panjenengan orang apik,-2,Negatif
sang mafia jokowi presiden jokowi sadar kekuatan full power beliau ngerem eksekusi beliau kumpulkan data diserahkan eksekutor keberanian kekuatan full prabowo pilpres kemarin capres janjikan bbm gratis dipinjami jet pribadi sang mafia,1,Positif
berbicara bicarakan bagiku adil bapan pemeriksa keuangan jokowi dihadirkn fitnah bapan pemeriksa keuangan jokowi salah,-3,Negatif
berharap machfud diangkat menkopolkam landai berani ambil tindakan bicara podcast,0,Netral
mahfud narasumber aman,0,Netral
menyalah pejabat pemerintah diam riza korupsi minyak mentah didengar hukum indonesia hebat diam hukum lambat korupsi pertamina bebas mata ketahuan,-5,Negatif
sepandai pandai tikus melompat tikus,0,Netral
duit riza chalid mengalir jokowi menang pilpres,0,Netral
pemimpin indonesia andil modal kampanye,2,Positif
up,0,Netral
luhut,0,Netral
negara dirusak pejabat negara mafia berlindung dibalik uud rusak jabatan institusi negarasemu pejabatnya mafia mengeruk hadi pajak kekayaan alam dampaknya rakyat menderta,-4,Negatif
menyimak semoga mahfud md sht,0,Netral
terima kasih prof mahmud,1,Positif
bagus procasd min rakat mengerti kebobrokan pemimpin pemerintahan indonedi,-1,Negatif
luhut pandjaitan tanggung jawabbanyak elit asing menghadap luhut nya,-1,Negatif
subhanallahinfo biasamaju pabongkar hukum koruptor,0,Netral
mudahan bapan pemeriksa keuangan hebat cerdasjujur bijaksana sehat sukses amin yra,2,Positif
prof,0,Netral
subscribe ah lumayan ilmu gratis,2,Positif
lolos menerima,0,Netral
rija kalid tamu kehormatan jokowi saatantu gibran,1,Positif
host nara sumbernya enjoy mendengar ngopi menikmatinya trimakadmsih infonya sehat,2,Positif
tag ketua arif hidayat,1,Positif
orang pintar attitude barakallah fiikum orang negara,0,Netral
luhut menghubungi mahfudh dulunya berjasa mahfud jakarta,2,Positif
allah swt robby maha diatas galanya pnjangkanlah umur sehatkalah peresiden prabowo subinto nkri makmur sejahtera amin yra,3,Positif
jokowi sumber,0,Netral
orang orang jujur bersatu negara,-1,Negatif
kesimpulannya bemper mobil bemper ujungnya dibebankan presiden selesai jabatannya,2,Positif
sudirman said dipecat mentri sdm jokotol gara papa saham jokotol melindungi koruptor merampok uang rakyat dijadikan jongos,-2,Negatif
mahfud channel podcast langsung subscribe,1,Positif
maaf butuh hati tanggung bernegri,-2,Negatif
satunya maling,0,Netral
minyak indonesia jual negeri pakai kpl,1,Positif
suka banget diskusi,1,Positif
gilaparahjokowi merusak fondasi bernegara,0,Netral
bersih pertamina pejabatnya kenjuruhan mati aktif otak hansip rakyat bersih sersih,0,Netral
ngibul dipecat,0,Netral
waahh gen milenial kali memilih pakai jokowi terbodohi pikir orang lingkungan membawa sikap pepatah sikapmu tergantung lingkunganmu astaghfirullah,2,Positif
said didu nurdiman said mahfud md ahok coba prabowo galang tokoh vokal cerdas jujur bernyali,0,Netral
t rizal chalid demo kemarin mereda uud negara konoha,-1,Negatif
data dikumpulkan sudirman said lengkap menjerat rc,-1,Negatif
doa rakyat presiden wakilnya alloooh yuswa sehatkan badan istikomah ibadahnyaya alloooh kemudahan bapan pemeriksa keuangan presiden indonesia merampas uang aset koroptor merampas duluan tangkap orangnyademi negara maju makmur rakyatnyaselamatkan negara kayak raya oh alloooh maha kuasa alam semesta,1,Positif
suka pembahasan sisi orang,1,Positif
semoga presiden prabowo mengambil sudirman said menteri esdm ignatius jonan menteri perhubunganahok ketua kpkmartinus hukom kapolriroy suryo menteri kominfo,1,Positif
madura jujur of justice,0,Netral
luhut,0,Netral
paradikama bapan pemeriksa keuangan perbaiki bilang rizal kalid jatuhkan orang rakyat jatuhkanya rakyat bilang korupsi korupsi maling duit negara tangkap petugas menarik pajaknya deh sumber ilmu dasarnya sepeti riza chalid rakyat kayak raya orang kayak raya negara mencolong taati aturan negara curang bayar kewajibann negara warga negara bayar pajak full negara masuk korup nagih pajaknya nagih pajaknya jujur rakyatnya bayar pajak masuk katagori mentaati aturan negara negara sangsi bertahap menutup akusisi usahanya neraga berkuasa rakyat berkuasa rkayat bolekan ber usaha kayak raya,-12,Negatif
melawan mafia mafia vs mafia mahfud cerdik,-2,Negatif
tokoh bangsa bersatu turun mendukung penegakan hukum korupsi rakyat dibelakang dibutuhkan,-2,Negatif
manusia puasnya keserakahan manusia dibasmi sesuai ajaran islam,4,Positif
mahfud semoga masuk kabinet prabowo masuk menkopolhukam cakarnya tajam,-3,Negatif
tangkap luhut,-1,Negatif
jokowi luhut hukum hukum mengelit,0,Netral
orang muntar muntir mengesankan konsistensi manusia,1,Positif
blok rokan blok mahakam ambil sr ambil pripot menyamakan harga bensin portugal anatar portugal barat portugal timur,-2,Negatif
pembahasan kesejahteraan rakyatkalo pejabat korupsi berat setuju,-1,Negatif
tangjaplah sgar negara harga,1,Positif
isinya daging semoga orang dilindungi menjaga kestabilan negeri tercinta,1,Positif
orang mengkritik bos majikan nyakemarin kemana ajakok mengomong sekarangselama menjabat diam baepakjadi kesan ngerumpi gerobak sayur,-1,Negatif
sudirman said jujur jujur mahfud md sudirman said molai melenceng mahfud md meluruskan elegan,-1,Negatif
jokower,0,Netral
semoga mahfud presidenindonesia kedepannya amiinya allah,1,Positif
dibiarkan komisi doi bapan pemeriksa keuangan rakyat dipikirkan,0,Netral
wow,0,Netral
orang kecewa sudirman said,0,Netral
adili jokowi manusia perusak demokrasi paham pancasila menghina pancasila oligarki,1,Positif
sudirman the next mentri esdm bravo,-1,Negatif
penegak hukum lembaga pengadilan negeri busuk kritis,-3,Negatif
negara dipimpin orang kompeten sekelas walikota dipaksa presiden dampak kerusakan parah,-2,Negatif
bohong mencedrai presiden said suka bohong,-1,Negatif
mahfudorng madura backingan bapakjangn takut,0,Netral
kali presiden lolos brti presiden sikap,2,Positif
jokowi menangkap menangkap rc kayak move on suruh abah pres pas nyaleg rc sponsor,1,Positif
ha ha maling teriak naling,-1,Negatif
terang benderang langsung bikin langkah hukum ntk menjerat wiwi tangkap adili penjahat korupsi,-1,Negatif
indonesia maju selagi korupsi mafia berantas buktikan,-3,Negatif
mantabbruce willis podcast mahfud md,0,Netral
mantan dilarang mendahului selamat profesi apud menyusul refly harun abraham samad dll,0,Netral
butuh juta orang bapan pemeriksa keuangan prof mahfud md bapan pemeriksa keuangan sudirman said indonesia semoga indonesia adil makmur rakyat,1,Positif
negeri pertiwiku tercinta imajinasiku relasi penguasa mafia plus polisi film negeri prindavan bedanya cerita tokoh protagonis pemenangnya sekenario negeriku tokoh protagonis berjaya negeriku,3,Positif
presiden prabowo terbaik dimasa beliau monster rakus dilibas ampun memilih beliau resfek bangga presiden beliau,4,Positif
yes correct,1,Positif
mahfud md cocok sudirman kali nebar fitnah,-1,Negatif
masyaallah topik membuka pikiran salah bismillah semoga negeri kemudahan memperbaiki jaman amin,0,Netral
hidup jkw,0,Netral
sadar jkw jahat didukung periode p prabowo cerdas n presiden,0,Netral
komenetar jokowi jelekinnya lagiahh diera jokowi hebat deh buta pembangunan dimana minyak harga sabang merokehanya orang sakit hatilah mengusik beliau pecatan pembubaran ormas diiindonesiasehat jokowmakin cacianmu pahala mengalir kepadamumereka iri dirimu pakpercayalah orang membangun negeri,-3,Negatif
mahfud undang anies bahas anies reshuffle,2,Positif
namanya sent kiri belok kanan,0,Netral
komite asn bubarkan sudirman said,0,Netral
mahfudz sudirman said ketahuilah manusia jahat kerjanya nakut nakuti rakyat presiden,1,Positif
mahfudz md jokowi wajib adili jebloskan penjara melindungi setianovanto,-2,Negatif
riza chalid jaman surabaya bro,-1,Negatif
jokowi membiarkan takut kekuatan jokowi berbicara indonesia butuh orang pemimpin pemberani prabowo,-2,Negatif
astaghfirullah moel,-1,Negatif
daging semu semoga podcas tumbuh negeri,1,Positif
utube chanel,0,Netral
pertamina telkom pln pdam usaha monopoli laku susahnya dimana,0,Netral
sedih harga bbm nasional ditentukan mafia,-1,Negatif
habis pensiun presiden korek abisabisan jokowi,0,Netral
rakyat bersatu koruptor dimiskinkan,-1,Negatif
keren sudirman,0,Netral
podcast ter keren,0,Netral
semenjak chanel yutub mahmud muda,-1,Negatif
mahfud orang cerdas jujur oportunis jabatan bungkam,0,Netral
bongkar bongkar bongkar mafia gasss ok gasss,-3,Negatif
jokowi bersih,0,Netral
pemerintah takbisa menyelesaikan pertamina biarkan rakyat mengesekusinya kedaulatan tertinggi ditangan rakyat,1,Positif
sapa menko polhukam nyakq bicara,0,Netral
bongkar saudara jabatan pertamina bilang pejabat pertamina rahasia pejabat kuncian kasih uang barang wanita simpanan upaya upaya tutup mulut pejabat pertamina bersih sekalinya bersih orang ramai racuni buruk disingkirkan,-7,Negatif
jokowiiii jahat banget aslinya mafia memwperkbangbiakn smwa mafia jahatnyaaaaaa,-2,Negatif
mahfud berani jokowi atasnya,0,Netral
komandoooo amin rabb,0,Netral
ngerik sedep bahasan pemberani,1,Positif
cari isi kantong honornya gede broo,0,Netral
menteri sewajarnya kebijakan setahu dqn perintah presidenitu bawahan etika,2,Positif
pedih pemimpin negara ambil pinjaman negeri meninggal utang kekayaan negeri biarkan keruk mafia,-4,Negatif
setnov anak buah surabaya selesai jauhkan surabaya prabowo,-1,Negatif
tinggal bilang persiden serahkan rakyat selesai,0,Netral
bravo jokowi bravo prabowo gibran bravo nkri,0,Netral
gelap banget cerita orang takut percaya tuhan mahfud berani chanel kayak sehat,1,Positif
penjahat tangkap walw dima ber hukum seu berat timbang pilih rayat salah hujuman tajam penjahat koruptor hukum penhara perlihat keu pubilik rakyat pasi meu mantau kebenaran rakyat iri menangis hukum tajam keu tumpul keu,-6,Negatif
mentri sudirman pitnah allah meulindungi jahat pemitnah kena inbas allah tida tidur tida mengantuk semoga beka negara rakyat seulalu lindungi allah amin yrb,0,Netral
barangkali jaksa agung bikin pencitraan laporan bagus busuk mentri mahpud md kejar oknum koruptor ta pandang bulu tanggiap,-2,Negatif
mahfud mengomong,0,Netral
sehat berkah mahfudz,1,Positif
content jelaspelaku sejarah ceritajadi paham viralkan masyarakat,0,Netral
keren sejarah perjalanan jokowi berubah dibahas ditangkap orang jokowi pengaruh buruk dipembahasan membawa pengaruh jokowi berhentikan kepala negara nyalinya ciut,-2,Negatif
raja minyak ditangkap rakyat indonesia menderita membongkar orang terlibat korupsi tubuh pertamina dusta dibalik,-4,Negatif
termul kebenaran sejati mulut mulyono senada kena cap hoax,-2,Negatif
mentrinya esdm diganti orang timur orang timur kuat mentalnya kokoh dibalik tunduk atasan,0,Netral
kekuasaan berbahaya,-1,Negatif
sudirman menteri menggantikan luhut,0,Netral
tag jokowinya dengar,1,Positif
kawan kawan mari dukung prabowo memberantas mafia,-1,Negatif
era jkw mentri dicopot mentrinya bagus mentrinya perintah absurd jkw reshuffle mentrinya becus,0,Netral
mahfud dirman said hatta r i yonan bravo berantas n usut mafia pertamina,-1,Negatif
semoga prabowo berani terlepas jokowi mantan presiden apapun negeri menegakan kebenaran,-1,Negatif
mulyono ngerusak tata hukum partai diobrak abrik,0,Netral
o yao bongkar,-1,Negatif
korupsi panggil mafia koruptor panggil pemaling uang rakyat uang tilep diatas miliar triliun sopan santun tega memiskinkan masyarakat indonesia,-5,Negatif
inis shootingnya rc singapura malaysia,0,Netral
keren mahfud md,0,Netral
aturan rekaman ijin berlaku oermintaan peninjauan ulang,0,Netral
negara takut perampok,0,Netral
negara maju korupsi rakyat korup indonesia luarbiasa fakta uu perampasan aset sita muskinkan,-3,Negatif
kena umpama singa kalah kucing presiden sadar tni polri lucu lucu jokowi,-1,Negatif
ancaman keselamatan keluarga arus berat,-1,Negatif
next prof mahfud tolong undang ignasius jonan,0,Netral
semoga allah keteguhan hati keberanian perlindungan sesepuh anak muda jujur berintegritas kredibilitas meraih kehidupan amin,-1,Negatif
pablo escobar versi indonesia prabowo gagal hilang trust rakyat percaya statement beliau berapi berantas koruptor antartika wkwk gaya kayak sokarno kayak deng xiaoping kayak raya pengusaha pemimpin disusupi,-3,Negatif
sungguh membagongkan,0,Netral
jokowi dalang kekacauan kemiskinan,-1,Negatif
mahmud sudiriman salah orang berintegritas apaka judol hentikan iklan situs video dewasa judol berpengaruh ekonomi penghasilan masyarakat menengah bawa berputar tersedot hilang judolsaya kasih contoh gaji buruh tambang juta berputar masyarakat alhasil judol tersedot hilang permainan judolkira ribu karyawan pt imip bermain judol perputaran uang masyarakat signifikan,2,Positif
suhun pajenengan pakai mahfud gasfull suport negara libatkan gandeng tangan salsa hutagalung stabilitas nasional,2,Positif
angkat sudirmansaid mentri esdm masuk kabinet merah putih prabowo,-2,Negatif
betapa kekuasaan mengubah tulus rakus semoga pelajaran,3,Positif
mafia ketua geng memerintahkan,-1,Negatif
ayo tangkap riza khaliiid dimana ayo polisi interpol tunjukkan kinerja mu,1,Positif
buka korup jago makan uang indonesia mafud supaja wowo mafia diindo raja korup luhut korup pulang keneraka modar sia ok,-4,Negatif
semoga mahfud prabowo sehat wal alfiat tolong diceka mafiat negeri sebenarx tabung gas berp dirakyat kampung kon ribu,0,Netral
raja minyak cerdik menempatkan bawahannya kedunguan,1,Positif
pucuk pimpinan tertinggi buapaknya wapres produuuk,1,Positif
penyebab fraud kesempatan tekanan rasionalisasi korupsi tudak dicegah membangun sistem kontrol three lines of defence level strategis operasional plus digitalisasi bumn dibagun sistem mari analisa sistem membangunnya danblakukan continuous improvement,-5,Negatif
nato no action talk only,1,Positif
melindungi penjahat kejahatan,0,Netral
setya novanto bebas koruptor sekejam dihukum miskin turunan woiiiii,-2,Negatif
pantesan prabowo sedih anis menyerang anis membongkar mafia migas,-5,Negatif
konten mahal nih,1,Positif
jokowi anak buah big mama lakukan izinnya,0,Netral
no country for oldman,0,Netral
sudirman said n mahfud bergabung pakai nikam,-1,Negatif
halah mahfud sudirman orang sirkel pas delem bertahuntahun ngapin pas koar pembela kebenaran,1,Positif
tokoh pegang perkataannya lurus,0,Netral
pertanyaannya buka mafud jabatan jokowi ngelek salahnya salah,-1,Negatif
analisa untung sudirman said bersih jebak dekati mafia sandra politiknya jokwi persis nadiem makarim,-1,Negatif
belajar jujur cerdas prof md,1,Positif
maksud cerdas orang medura,0,Netral
orang nomor indonesia takut mapia minyakngak masuk akal takut setoran perbulan,-1,Negatif
